id,url,text,source,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt,lang,bookmarkCount,isReply,inReplyToId,conversationId,authorUserName,authorName,authorFollowers,authorFollowing,authorDescription
"1934626693211373712","https://x.com/ClassicsCrypto/status/1934626693211373712","@StarPlatinumSOL unplug it then plug it back in","Twitter for iPhone",0,0,0,0,8,"Mon Jun 16 14:58:41 +0000 2025","en",0,true,"1934532892715110826","1934532892715110826","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934626525552283653","https://x.com/ClassicsCrypto/status/1934626525552283653","@YammoYammo @GM_DFZ GM https://t.co/WKpnHC67pm","Twitter for iPhone",0,0,0,0,7,"Mon Jun 16 14:58:01 +0000 2025","und",0,true,"1934523619339874747","1934523619339874747","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934626470053466572","https://x.com/ClassicsCrypto/status/1934626470053466572","@JakeBalchNFT @MetaVixensNFT Morning Jake!","Twitter for iPhone",0,0,1,0,7,"Mon Jun 16 14:57:48 +0000 2025","en",0,true,"1934612676233105738","1934612676233105738","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934626228767523199","https://x.com/ClassicsCrypto/status/1934626228767523199","@zolozeth @BoredApeYC @boredcloset gm Zolo","Twitter for iPhone",0,1,1,0,4,"Mon Jun 16 14:56:51 +0000 2025","und",0,true,"1934615330237616243","1934615330237616243","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934626183372820701","https://x.com/ClassicsCrypto/status/1934626183372820701","@sircandyapple @playsolana looks solid!","Twitter for iPhone",0,0,0,0,25,"Mon Jun 16 14:56:40 +0000 2025","en",0,true,"1934624416551543208","1934624416551543208","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934626130218438684","https://x.com/ClassicsCrypto/status/1934626130218438684","@GeezOnApe @DashboUGC ok thx frens!","Twitter for iPhone",0,0,0,0,4,"Mon Jun 16 14:56:27 +0000 2025","en",0,true,"1934590200274977229","1934590200274977229","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934626062752707035","https://x.com/ClassicsCrypto/status/1934626062752707035","@the_mories gm gang","Twitter for iPhone",0,0,0,0,6,"Mon Jun 16 14:56:11 +0000 2025","in",0,true,"1934585569893327132","1934585569893327132","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934626017030627739","https://x.com/ClassicsCrypto/status/1934626017030627739","@MaddKingMaddox gn and maybe gm","Twitter for iPhone",0,0,0,0,3,"Mon Jun 16 14:56:00 +0000 2025","en",0,true,"1934495513476252088","1934495513476252088","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934625927834530102","https://x.com/ClassicsCrypto/status/1934625927834530102","@Brongis9163 @BoredApeYC @boredcloset gm gm Brongis!","Twitter for iPhone",0,0,1,0,6,"Mon Jun 16 14:55:39 +0000 2025","in",0,true,"1934522121893666958","1934522121893666958","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934625861174481139","https://x.com/ClassicsCrypto/status/1934625861174481139","@TooPhatCanada hahaha","Twitter for iPhone",0,0,0,0,4,"Mon Jun 16 14:55:23 +0000 2025","tl",0,true,"1934495778996920596","1934495778996920596","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934625804341612668","https://x.com/ClassicsCrypto/status/1934625804341612668","@iCrazyTeddy Gm Teddy!","Twitter for iPhone",0,0,0,0,2,"Mon Jun 16 14:55:10 +0000 2025","en",0,true,"1934524705559429369","1934524705559429369","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934625736092184778","https://x.com/ClassicsCrypto/status/1934625736092184778","@NFT1nsight @AbstractChain @finalbosuX gm gm can't fricken wait!","Twitter for iPhone",0,0,1,0,13,"Mon Jun 16 14:54:53 +0000 2025","en",0,true,"1934533771358855487","1934533771358855487","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934625669687734493","https://x.com/ClassicsCrypto/status/1934625669687734493","@PunkHot10 @ChimpersNFT @finalbosuX gm Joey! need to fix my trezor stuff and get mine","Twitter for iPhone",0,1,2,0,16,"Mon Jun 16 14:54:37 +0000 2025","en",0,true,"1934517995143049620","1934517995143049620","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934625507653435688","https://x.com/ClassicsCrypto/status/1934625507653435688","@cryptonionguy @MarsCatsVoyage hey Mr X","Twitter for iPhone",0,0,0,0,2,"Mon Jun 16 14:53:59 +0000 2025","en",0,true,"1934625423393964090","1934623016992063564","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934625423264276969","https://x.com/ClassicsCrypto/status/1934625423264276969","@zyrickonline @MarsCatsVoyage hey Zyrick!","Twitter for iPhone",0,0,0,0,6,"Mon Jun 16 14:53:39 +0000 2025","en",0,true,"1934624668893524123","1934623016992063564","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934625333170331824","https://x.com/ClassicsCrypto/status/1934625333170331824","@COptimiztic @MarsCatsVoyage gm brother","Twitter for iPhone",0,0,1,0,8,"Mon Jun 16 14:53:17 +0000 2025","en",0,true,"1934622731024175544","1934455006062948573","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934625253650465210","https://x.com/ClassicsCrypto/status/1934625253650465210","@Web3Kaneco @Nifty_Island we need more of these haha","Twitter for iPhone",0,0,1,0,21,"Mon Jun 16 14:52:58 +0000 2025","en",0,true,"1934623625971208246","1934616025540292608","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934624734186000562","https://x.com/ClassicsCrypto/status/1934624734186000562","@MeowMrkat @MarsCatsVoyage hey Mr Kat! I hope you enjoyed the weekend","Twitter for iPhone",0,1,1,0,7,"Mon Jun 16 14:50:54 +0000 2025","en",0,true,"1934624011973017842","1934623016992063564","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934624637624746187","https://x.com/ClassicsCrypto/status/1934624637624746187","@0xSweep gm Sweep","Twitter for iPhone",0,0,0,0,7,"Mon Jun 16 14:50:31 +0000 2025","en",0,true,"1934523201994002839","1934523201994002839","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934624517365907697","https://x.com/ClassicsCrypto/status/1934624517365907697","@farokh I think we go super cycle once all things global chill out...no more bear markets though, maybe like 25-50% dumps max","Twitter for iPhone",0,0,0,0,25,"Mon Jun 16 14:50:03 +0000 2025","en",0,true,"1934595810018357597","1934595810018357597","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934623522686431416","https://x.com/ClassicsCrypto/status/1934623522686431416","@wallchain_xyz @alliancedao @0xMert_ @aeyakovenko @_portals_ ??","Twitter for iPhone",0,0,0,0,14,"Mon Jun 16 14:46:06 +0000 2025","qam",0,true,"1934596682110689685","1934596682110689685","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934623186504618246","https://x.com/ClassicsCrypto/status/1934623186504618246","@NFT1nsight @gabrielayuso omg!! this is so fricken cool!","Twitter for iPhone",0,0,1,0,16,"Mon Jun 16 14:44:45 +0000 2025","en",0,true,"1934560056302846328","1934560056302846328","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934623016992063564","https://x.com/ClassicsCrypto/status/1934623016992063564","Gm to absolutely everyone!

Time to crush this week! LFG!!! https://t.co/6aNpjkRbxx","Twitter for iPhone",3,10,11,0,176,"Mon Jun 16 14:44:05 +0000 2025","en",0,false,"","1934623016992063564","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934622665391686022","https://x.com/ClassicsCrypto/status/1934622665391686022","@MookieNFT gm mookie","Twitter for iPhone",0,0,0,0,7,"Mon Jun 16 14:42:41 +0000 2025","en",0,true,"1934584617396556245","1934584617396556245","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934622623507341717","https://x.com/ClassicsCrypto/status/1934622623507341717","@SALAMANDER12_ @bl4nkorg gm gm sala","Twitter for iPhone",0,0,0,0,10,"Mon Jun 16 14:42:31 +0000 2025","in",0,true,"1934584399749664770","1934584399749664770","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
"1934622508109492434","https://x.com/ClassicsCrypto/status/1934622508109492434","@RamenPals keep it up Ramen! time to grow","Twitter for iPhone",0,1,1,0,19,"Mon Jun 16 14:42:04 +0000 2025","en",0,true,"1934621419733983615","1934621419733983615","ClassicsCrypto","Jay B 😻🚀",11945,10580,""
